timestamp_est,symbol,order_id,side,price,size,order_type,action,session_id,data_type,cbdr_window
2025-11-12 06:02:15.022,MNQZ5.CME@RITHMIC,124548857309300,SELL,25835.75,29,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:15.050,MNQZ5.CME@RITHMIC,124548885062200,SELL,25838.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:15.706,MNQZ5.CME@RITHMIC,124549541610600,SELL,25805.0,47,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:15.761,MNQZ5.CME@RITHMIC,124549594945400,BUY,25630.0,99,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:15.762,MNQZ5.CME@RITHMIC,124549596322300,BUY,25720.0,35,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:19.926,MNQZ5.CME@RITHMIC,124553760278200,SELL,25805.0,48,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:20.222,MNQZ5.CME@RITHMIC,124554056960900,SELL,25805.0,49,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:23.071,MNQZ5.CME@RITHMIC,6868768443174,SELL,25831.75,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:02:23.073,MNQZ5.CME@RITHMIC,124556908765300,SELL,25831.75,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:23.256,MNQZ5.CME@RITHMIC,124557091033800,BUY,25794.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:23.306,MNQZ5.CME@RITHMIC,124557140794500,BUY,25794.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:26.159,MNQZ5.CME@RITHMIC,6868769075438,SELL,25830.0,50,LIMIT,ADD,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:02:26.160,MNQZ5.CME@RITHMIC,124559994807400,SELL,25830.0,67,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:33.733,MNQZ5.CME@RITHMIC,124567567139900,SELL,25805.0,48,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:33.985,MNQZ5.CME@RITHMIC,124567820207300,BUY,25800.0,25,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:35.537,MNQZ5.CME@RITHMIC,124569372373700,BUY,25786.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:35.539,MNQZ5.CME@RITHMIC,6868768311700,BUY,25773.5,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:02:35.541,MNQZ5.CME@RITHMIC,124569376606600,BUY,25773.5,26,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:36.143,MNQZ5.CME@RITHMIC,124569978203700,SELL,25812.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:36.151,MNQZ5.CME@RITHMIC,124569985414300,SELL,25812.0,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:36.422,MNQZ5.CME@RITHMIC,124570257115200,BUY,25800.0,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:37.291,MNQZ5.CME@RITHMIC,124571126438600,BUY,25790.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:37.298,MNQZ5.CME@RITHMIC,124571132703100,BUY,25790.0,26,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:37.324,MNQZ5.CME@RITHMIC,124571158857800,BUY,25790.0,31,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:37.429,MNQZ5.CME@RITHMIC,124571263809700,SELL,25900.0,129,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:39.211,MNQZ5.CME@RITHMIC,124573045446500,SELL,26000.0,229,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
